run_id,sensor_id,transformation,scope_id,start_date,end_date,n,adf_statistic,adf_p_value,adf_used_lags,kpss_statistic,kpss_p_value,kpss_used_lags,joint_interpretation,test_warning
mid_R__daily_cumulative_difference__mid_R_s04_range_not_stated__r2,mid_R,daily_cumulative_difference,mid_R_s04_range_not_stated,2017-10-02,2018-09-25,359,-7.468959253544283,5.11493883935085e-11,2,0.5251302117524816,0.036006709064756386,8,tests_disagree_or_are_inconclusive,none
mid_R__daily_cumulative_level__mid_R_s01_pre_fire__WY1997__r1,mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY1997,1997-03-22,1997-09-30,193,-1.928356777305318,0.3188409984497811,11,1.7451410490047026,0.01,9,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s01_pre_fire__WY1998__r1,mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY1998,1997-10-01,1998-03-20,171,0.21172587473173254,0.9729116470025171,4,1.7025791223198974,0.01,9,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s01_pre_fire__WY1999__r1,mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY1999,1998-10-01,1999-04-12,194,0.5437858995968706,0.9861448958508943,1,1.9651998235625874,0.01,9,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s01_pre_fire__WY2000__r1,mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY2000,1999-10-01,2000-08-06,311,-1.2367764901776168,0.6575787777786064,4,2.5687584079041255,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s01_pre_fire__WY2001__r2,mid_R,daily_cumulative_level,mid_R_s01_pre_fire__WY2001,2000-12-15,2001-09-30,290,-2.6291719306230688,0.08711665156871429,14,2.259376452114091,0.01,10,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2003__r3,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2003,2003-02-24,2003-09-30,219,-3.15257815080206,0.022899035215780558,12,1.6711490893748226,0.01,9,tests_disagree_or_are_inconclusive,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2004__r2,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2004,2004-02-23,2004-08-08,168,-8.636234071574455,5.5811429286250214e-14,0,1.675516308003573,0.01,8,tests_disagree_or_are_inconclusive,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2005__r1,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2005,2004-10-01,2005-09-30,365,-2.3499763584935596,0.15635555676118212,1,3.0106124104115706,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2006__r2,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2006,2005-10-18,2006-09-13,331,-2.0141829809163205,0.28038918921639433,3,2.6056987726370244,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2007__r1,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2007,2006-10-01,2007-09-30,365,-2.3439432276282814,0.15818666754139638,1,2.8930007945649305,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2008__r1,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2008,2007-10-01,2008-09-30,366,-2.332143825376856,0.16181038363776806,2,2.730045574165635,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2009__r1,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2009,2008-10-01,2009-09-25,360,-1.7008450762799472,0.4306771208268126,7,2.931438765708934,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2010__r1,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2010,2009-10-01,2010-09-30,365,-2.1731565818430063,0.21613189546508071,1,3.0494883433483233,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2011__r1,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2011,2010-10-01,2011-05-25,237,-1.106121532490605,0.7126245448607174,1,2.203897660396325,0.01,10,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_R__daily_cumulative_level__mid_R_s02_post_fire__WY2012__r1,mid_R,daily_cumulative_level,mid_R_s02_post_fire__WY2012,2011-10-01,2012-08-21,326,-0.6281127228684908,0.8645023437052124,4,2.7337805627470444,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
