run_id,window_id,target_id,segment_id,water_year,run_start_date,run_end_date,run_length_days,method,setting,minimum_segment_length_days,candidate_date,candidate_index
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2012,2011-10-02,2012-05-15,227,Binseg_l2,n_bkps_3,30,2012-01-24,114
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2012,2011-10-02,2012-05-15,227,Binseg_l2,n_bkps_3,30,2012-03-11,161
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2012__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2012,2011-10-02,2012-05-15,227,Binseg_l2,n_bkps_3,30,2012-04-14,195
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2014,2014-01-14,2014-09-30,260,Binseg_l2,n_bkps_1,30,2014-03-31,76
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2014,2014-01-14,2014-09-30,260,Binseg_l2,n_bkps_2,30,2014-02-27,44
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2014,2014-01-14,2014-09-30,260,Binseg_l2,n_bkps_2,30,2014-03-31,76
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2014,2014-01-14,2014-09-30,260,Binseg_l2,n_bkps_3,30,2014-02-27,44
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2014,2014-01-14,2014-09-30,260,Binseg_l2,n_bkps_3,30,2014-03-31,76
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2014__r2,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2014,2014-01-14,2014-09-30,260,Binseg_l2,n_bkps_3,30,2014-05-02,108
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2015,2014-10-02,2015-07-02,274,Binseg_l2,n_bkps_1,30,2015-05-25,235
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2015,2014-10-02,2015-07-02,274,Binseg_l2,n_bkps_2,30,2015-04-18,198
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2015,2014-10-02,2015-07-02,274,Binseg_l2,n_bkps_2,30,2015-05-25,235
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2015,2014-10-02,2015-07-02,274,Binseg_l2,n_bkps_3,30,2014-12-13,72
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2015,2014-10-02,2015-07-02,274,Binseg_l2,n_bkps_3,30,2015-04-18,198
toe_pre_topple_long__toe_E5_C_s01_pre_topple__WY2015__r1,toe_pre_topple_long,toe_E5_C,toe_E5_C_s01_pre_topple,2015,2014-10-02,2015-07-02,274,Binseg_l2,n_bkps_3,30,2015-05-25,235
toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1,toe_pre_topple_post_rain_resume,toe_E5_C,toe_E5_C_s01_pre_topple,2016,2016-01-28,2016-09-30,247,Binseg_l2,n_bkps_1,30,2016-04-04,67
toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1,toe_pre_topple_post_rain_resume,toe_E5_C,toe_E5_C_s01_pre_topple,2016,2016-01-28,2016-09-30,247,Binseg_l2,n_bkps_2,30,2016-04-04,67
toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1,toe_pre_topple_post_rain_resume,toe_E5_C,toe_E5_C_s01_pre_topple,2016,2016-01-28,2016-09-30,247,Binseg_l2,n_bkps_2,30,2016-05-23,116
toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1,toe_pre_topple_post_rain_resume,toe_E5_C,toe_E5_C_s01_pre_topple,2016,2016-01-28,2016-09-30,247,Binseg_l2,n_bkps_3,30,2016-04-04,67
toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1,toe_pre_topple_post_rain_resume,toe_E5_C,toe_E5_C_s01_pre_topple,2016,2016-01-28,2016-09-30,247,Binseg_l2,n_bkps_3,30,2016-05-23,116
toe_pre_topple_post_rain_resume__toe_E5_C_s01_pre_topple__WY2016__r1,toe_pre_topple_post_rain_resume,toe_E5_C,toe_E5_C_s01_pre_topple,2016,2016-01-28,2016-09-30,247,Binseg_l2,n_bkps_3,30,2016-08-23,208
