window_id,target_id,stage,model_id,model_family,horizon_days,status,attempt_count,fraction_of_scheduled_attempts
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ARIMA,7,ineligible_core_origin,18,0.13533834586466165
toe_pre_topple_long,toe_E5_C,selection,arima_ar1,ARIMA,7,ok,113,0.849624060150376
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ARIMA,1,fit_failure,3,0.022556390977443608
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ARIMA,1,ineligible_core_origin,11,0.08270676691729323
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ARIMA,1,ok,119,0.8947368421052632
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ARIMA,2,fit_failure,3,0.022556390977443608
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ARIMA,2,ineligible_core_origin,12,0.09022556390977443
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ARIMA,2,ok,118,0.8872180451127819
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ARIMA,7,fit_failure,3,0.022556390977443608
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ARIMA,7,ineligible_core_origin,18,0.13533834586466165
toe_pre_topple_long,toe_E5_C,selection,arima_ar2,ARIMA,7,ok,112,0.8421052631578947
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ARIMA,1,fit_failure,2,0.015037593984962405
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ARIMA,1,ineligible_core_origin,11,0.08270676691729323
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ARIMA,1,ok,120,0.9022556390977443
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ARIMA,2,fit_failure,2,0.015037593984962405
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ARIMA,2,ineligible_core_origin,12,0.09022556390977443
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ARIMA,2,ok,119,0.8947368421052632
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ARIMA,7,fit_failure,2,0.015037593984962405
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ARIMA,7,ineligible_core_origin,18,0.13533834586466165
toe_pre_topple_long,toe_E5_C,selection,arima_arma11,ARIMA,7,ok,113,0.849624060150376
toe_pre_topple_long,toe_E5_C,selection,arima_mean,ARIMA,1,fit_failure,10,0.07518796992481203
toe_pre_topple_long,toe_E5_C,selection,arima_mean,ARIMA,1,ineligible_core_origin,11,0.08270676691729323
toe_pre_topple_long,toe_E5_C,selection,arima_mean,ARIMA,1,ok,112,0.8421052631578947
toe_pre_topple_long,toe_E5_C,selection,arima_mean,ARIMA,2,fit_failure,10,0.07518796992481203
toe_pre_topple_long,toe_E5_C,selection,arima_mean,ARIMA,2,ineligible_core_origin,12,0.09022556390977443
toe_pre_topple_long,toe_E5_C,selection,arima_mean,ARIMA,2,ok,111,0.8345864661654135
toe_pre_topple_long,toe_E5_C,selection,arima_mean,ARIMA,7,fit_failure,10,0.07518796992481203
toe_pre_topple_long,toe_E5_C,selection,arima_mean,ARIMA,7,ineligible_core_origin,18,0.13533834586466165
toe_pre_topple_long,toe_E5_C,selection,arima_mean,ARIMA,7,ok,105,0.7894736842105263
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,conditional_ARIMAX,1,feature_unavailable,3,0.022556390977443608
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,conditional_ARIMAX,1,ineligible_core_origin,11,0.08270676691729323
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,conditional_ARIMAX,1,ok,119,0.8947368421052632
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,conditional_ARIMAX,2,feature_unavailable,4,0.03007518796992481
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,conditional_ARIMAX,2,ineligible_core_origin,12,0.09022556390977443
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,conditional_ARIMAX,2,ok,117,0.8796992481203008
toe_pre_topple_long,toe_E5_C,selection,arimax_ar1_rain_lag2,conditional_ARIMAX,7,feature_unavailable,133,1.0
toe_pre_topple_long,toe_E5_C,selection,expanding_median,baseline,1,ineligible_core_origin,11,0.08270676691729323
toe_pre_topple_long,toe_E5_C,selection,expanding_median,baseline,1,ok,122,0.9172932330827067
toe_pre_topple_long,toe_E5_C,selection,expanding_median,baseline,2,ineligible_core_origin,12,0.09022556390977443
toe_pre_topple_long,toe_E5_C,selection,expanding_median,baseline,2,ok,121,0.9097744360902256
toe_pre_topple_long,toe_E5_C,selection,expanding_median,baseline,7,ineligible_core_origin,18,0.13533834586466165
