window_id,target_id,stage,model_id,horizon_days,dimension,group_value,forecast_count,mae,rmse,bias,mase
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,2,water_year,2017,8,0.26653455405725984,0.4509319467681755,0.24736421301457298,0.9284727604503836
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,7,water_year,2016,18,0.14408858565228583,0.20863753330916474,-0.03873895053378046,0.4955358428776855
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_ar2,7,water_year,2017,7,0.38956228640859164,0.6065365169436204,0.03837842578162468,1.3562414232188005
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,1,water_year,2016,18,0.17852136591548218,0.29227160794126733,-0.07145552457958483,0.615870444626804
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,1,water_year,2017,8,0.1984767370649378,0.3638367469175181,-0.09173013228670077,0.6868416204819184
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,2,water_year,2016,18,0.19899685366712966,0.2719849383345633,0.03647405306521027,0.6874930328605506
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,2,water_year,2017,8,0.33208783602533654,0.5379015748699562,0.1554631131496722,1.154756435038522
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,7,water_year,2016,18,0.1411874825619149,0.2065425128246871,-0.0054450218102333366,0.4857646164069831
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_arma11,7,water_year,2017,7,0.6348113555619042,1.0116445357186163,-0.2466625447495647,2.2002661158765013
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_mean,1,water_year,2016,16,0.2073463864945796,0.3118093753468255,-0.16637768412368154,0.7148454444297122
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_mean,1,water_year,2017,8,0.6236722618969552,1.3605389661075895,0.5368040747923453,2.154965740149621
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_mean,2,water_year,2016,16,0.2208870249959078,0.25295798579897005,-0.06637768412368153,0.7623709235220786
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_mean,2,water_year,2017,8,0.8050130556958559,1.5704837920835286,0.7618040747923456,2.786680155486695
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_mean,7,water_year,2016,16,0.1605636242465983,0.22413394221935337,-0.06637768412368153,0.552591177615537
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arima_mean,7,water_year,2017,7,0.6356858146257759,0.9348283309086837,0.3401706234852057,2.20718989161519
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arimax_ar1_rain_lag2,1,water_year,2016,17,0.1775086844463117,0.29275049549781884,-0.07084899077075936,0.6131149604108732
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arimax_ar1_rain_lag2,1,water_year,2017,8,0.1976821072011851,0.32608576946215395,-0.019844605193592046,0.6880493436412107
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arimax_ar1_rain_lag2,2,water_year,2016,17,0.17896515182773415,0.26228228333990633,0.055996319058752936,0.6187328516041315
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,arimax_ar1_rain_lag2,2,water_year,2017,8,0.3549467814585214,0.5060313165209964,0.28236580495335095,1.2306805834645127
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,expanding_median,1,water_year,2016,18,0.13333333333333336,0.25819888974716115,-0.06666666666666668,0.459692940703434
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,expanding_median,1,water_year,2017,8,0.6249999999999998,1.4008925726121895,0.6249999999999998,2.159117346856835
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,expanding_median,2,water_year,2016,18,0.17777777777777776,0.24037008503093263,0.04444444444444444,0.6136183831181437
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,expanding_median,2,water_year,2017,8,0.8500000000000001,1.6178689687363441,0.8500000000000001,2.9427745702104606
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,expanding_median,7,water_year,2016,18,0.1277777777777778,0.2041241452319315,0.01666666666666666,0.4397294342253025
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,expanding_median,7,water_year,2017,7,0.5999999999999984,0.9724784242924264,0.428571428571427,2.0824699230107937
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,persistence,1,water_year,2016,18,0.1888888888888889,0.30912061651652345,-0.055555555555555566,0.6524245906024148
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,persistence,1,water_year,2017,8,0.30000000000000054,0.42130748865881895,-0.0750000000000005,1.0415073495196698
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,persistence,2,water_year,2016,18,0.1888888888888889,0.2943920288775949,0.055555555555555546,0.6532920817752117
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,persistence,2,water_year,2017,8,0.30000000000000016,0.390512483795333,0.1499999999999998,1.042258082980989
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,persistence,7,water_year,2016,18,0.20555555555555555,0.2778888666755511,0.02777777777777776,0.7077858490021577
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,persistence,7,water_year,2017,7,0.542857142857145,1.1588171308956194,-0.3714285714285734,1.875537677363398
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,prior_year_same_date,1,water_year,2016,18,0.14444444444444446,0.23570226039551584,-0.05555555555555554,0.49741977356615447
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,prior_year_same_date,1,water_year,2017,7,0.914285714285714,1.6080156360291662,0.6857142857142856,3.163039578677884
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,prior_year_same_date,2,water_year,2016,18,0.1611111111111111,0.2592724864350674,0.04999999999999998,0.5565960941035066
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,prior_year_same_date,2,water_year,2017,8,0.9000000000000001,1.6224980739587958,0.8500000000000002,3.1171471888042785
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,prior_year_same_date,7,water_year,2016,17,0.1823529411764706,0.2838806708709095,0.041176470588235294,0.6279647082881323
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,prior_year_same_date,7,water_year,2017,7,0.6857142857142842,0.960654538768822,0.4571428571428555,2.381961595296488
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,zero_change,1,water_year,2016,18,0.13333333333333336,0.25819888974716115,-0.06666666666666668,0.459692940703434
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,zero_change,1,water_year,2017,8,0.6249999999999998,1.4008925726121895,0.6249999999999998,2.159117346856835
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,zero_change,2,water_year,2016,18,0.17777777777777776,0.24037008503093263,0.04444444444444444,0.6136183831181437
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,zero_change,2,water_year,2017,8,0.8500000000000001,1.6178689687363441,0.8500000000000001,2.9427745702104606
toe_pre_topple_post_rain_resume,toe_E5_C,external_time_check,zero_change,7,water_year,2016,18,0.1277777777777778,0.2041241452319315,0.01666666666666666,0.4397294342253025
